algorithm,n,distribution,run,wall_ns,comparisons,swaps,array_accesses,timestamp,seed
SelectionSort,10000,nearly-sorted,1,31652500,49995000,500,99992000,2025-09-29T19:13:43.141447900Z,12345
SelectionSort,10000,nearly-sorted,2,31720600,49995000,500,99992000,2025-09-29T19:13:43.423540300Z,12345
SelectionSort,10000,nearly-sorted,3,34761800,49995000,500,99992000,2025-09-29T19:13:43.645589800Z,12345
SelectionSort,10000,nearly-sorted,4,35730200,49995000,500,99992000,2025-09-29T19:13:43.857856500Z,12345
SelectionSort,10000,nearly-sorted,5,31659700,49995000,500,99992000,2025-09-29T19:13:44.048964300Z,12345
SelectionSort,10000,nearly-sorted,6,31803700,49995000,500,99992000,2025-09-29T19:13:44.298509100Z,12345
SelectionSort,10000,nearly-sorted,7,31689900,49995000,500,99992000,2025-09-29T19:13:44.496481300Z,12345
SelectionSort,10000,nearly-sorted,8,32012800,49995000,500,99992000,2025-09-29T19:13:44.700526600Z,12345
SelectionSort,10000,nearly-sorted,9,56640500,49995000,500,99992000,2025-09-29T19:13:44.919861700Z,12345
SelectionSort,10000,nearly-sorted,10,31644100,49995000,500,99992000,2025-09-29T19:13:45.117925600Z,12345
