algorithm,n,distribution,run,wall_ns,comparisons,swaps,array_accesses,timestamp,seed
SelectionSort,1000,random,1,395200,499500,998,1002992,2025-09-29T18:49:32.840780400Z,12345
SelectionSort,1000,random,2,403700,499500,994,1002976,2025-09-29T18:49:32.871787900Z,12345
SelectionSort,1000,random,3,393500,499500,994,1002976,2025-09-29T18:49:32.873789800Z,12345
SelectionSort,1000,random,4,394200,499500,997,1002988,2025-09-29T18:49:32.876789100Z,12345
SelectionSort,1000,random,5,396400,499500,991,1002964,2025-09-29T18:49:32.879797Z,12345
SelectionSort,1000,random,6,494400,499500,993,1002972,2025-09-29T18:49:32.883791500Z,12345
SelectionSort,1000,random,7,395800,499500,990,1002960,2025-09-29T18:49:32.885799800Z,12345
SelectionSort,1000,random,8,396100,499500,988,1002952,2025-09-29T18:49:32.888792500Z,12345
SelectionSort,1000,random,9,402300,499500,988,1002952,2025-09-29T18:49:32.891794400Z,12345
SelectionSort,1000,random,10,396900,499500,994,1002976,2025-09-29T18:49:32.894794400Z,12345
SelectionSort,1000,random,1,576200,499500,998,1002992,2025-09-29T19:05:22.610386800Z,12345
SelectionSort,1000,random,2,412500,499500,994,1002976,2025-09-29T19:05:22.633390600Z,12345
SelectionSort,1000,random,3,389200,499500,994,1002976,2025-09-29T19:05:22.635946200Z,12345
SelectionSort,1000,random,4,393300,499500,997,1002988,2025-09-29T19:05:22.637946800Z,12345
SelectionSort,1000,random,5,405000,499500,991,1002964,2025-09-29T19:05:22.641456500Z,12345
SelectionSort,1000,random,6,393800,499500,993,1002972,2025-09-29T19:05:22.643457200Z,12345
SelectionSort,1000,random,7,394100,499500,990,1002960,2025-09-29T19:05:22.646979500Z,12345
SelectionSort,1000,random,8,395600,499500,988,1002952,2025-09-29T19:05:22.648965100Z,12345
SelectionSort,1000,random,9,487400,499500,988,1002952,2025-09-29T19:05:22.651965600Z,12345
SelectionSort,1000,random,10,397800,499500,994,1002976,2025-09-29T19:05:22.655072Z,12345
SelectionSort,1000,random,1,1211300,499500,998,1002992,2025-09-30T12:23:38.196544Z,12345
SelectionSort,1000,random,2,666900,499500,994,1002976,2025-09-30T12:23:38.243553700Z,12345
SelectionSort,1000,random,3,649400,499500,994,1002976,2025-09-30T12:23:38.248557200Z,12345
SelectionSort,1000,random,4,648400,499500,997,1002988,2025-09-30T12:23:38.252557900Z,12345
SelectionSort,1000,random,5,660000,499500,991,1002964,2025-09-30T12:23:38.257559300Z,12345
SelectionSort,1000,random,6,649800,499500,993,1002972,2025-09-30T12:23:38.262559Z,12345
SelectionSort,1000,random,7,734000,499500,990,1002960,2025-09-30T12:23:38.267561900Z,12345
SelectionSort,1000,random,8,959800,499500,988,1002952,2025-09-30T12:23:38.272561700Z,12345
SelectionSort,1000,random,9,654300,499500,988,1002952,2025-09-30T12:23:38.277563100Z,12345
SelectionSort,1000,random,10,643300,499500,994,1002976,2025-09-30T12:23:38.281563700Z,12345
SelectionSort,1000,random,1,885200,499500,998,1002992,2025-09-30T12:23:46.749975700Z,12345
SelectionSort,1000,random,2,662600,499500,994,1002976,2025-09-30T12:23:46.802021700Z,12345
SelectionSort,1000,random,3,640000,499500,994,1002976,2025-09-30T12:23:46.806510100Z,12345
SelectionSort,1000,random,4,644000,499500,997,1002988,2025-09-30T12:23:46.811688100Z,12345
SelectionSort,1000,random,5,649000,499500,991,1002964,2025-09-30T12:23:46.816691700Z,12345
SelectionSort,1000,random,6,641800,499500,993,1002972,2025-09-30T12:23:46.821702500Z,12345
SelectionSort,1000,random,7,885400,499500,990,1002960,2025-09-30T12:23:46.826695300Z,12345
SelectionSort,1000,random,8,668700,499500,988,1002952,2025-09-30T12:23:46.830692600Z,12345
SelectionSort,1000,random,9,649000,499500,988,1002952,2025-09-30T12:23:46.835695300Z,12345
SelectionSort,1000,random,10,643900,499500,994,1002976,2025-09-30T12:23:46.839697600Z,12345
SelectionSort,1000,random,1,458000,499500,998,1002992,2025-10-07T13:05:01.008254100Z,12345
SelectionSort,1000,random,2,473000,499500,994,1002976,2025-10-07T13:05:01.049265300Z,12345
