algorithm,n,distribution,run,wall_ns,comparisons,swaps,array_accesses,timestamp,seed
SelectionSort,1000,random,1,392100,499500,998,1002992,2025-09-29T19:11:12.290456100Z,12345
SelectionSort,1000,random,2,391600,499500,994,1002976,2025-09-29T19:11:12.325456300Z,12345
SelectionSort,1000,random,3,391000,499500,994,1002976,2025-09-29T19:11:12.328463900Z,12345
SelectionSort,1000,random,4,387700,499500,997,1002988,2025-09-29T19:11:12.331464500Z,12345
SelectionSort,1000,random,5,387900,499500,991,1002964,2025-09-29T19:11:12.333453600Z,12345
SelectionSort,1000,random,6,390900,499500,993,1002972,2025-09-29T19:11:12.336459200Z,12345
SelectionSort,1000,random,7,385800,499500,990,1002960,2025-09-29T19:11:12.339479900Z,12345
SelectionSort,1000,random,8,406400,499500,988,1002952,2025-09-29T19:11:12.342480300Z,12345
SelectionSort,1000,random,9,392100,499500,988,1002952,2025-09-29T19:11:12.345489400Z,12345
SelectionSort,1000,random,10,394300,499500,994,1002976,2025-09-29T19:11:12.348504500Z,12345
SelectionSort,1000,random,1,393800,499500,998,1002992,2025-09-30T07:30:29.358870300Z,12345
SelectionSort,1000,random,2,388600,499500,994,1002976,2025-09-30T07:30:29.394878100Z,12345
SelectionSort,1000,random,3,386300,499500,994,1002976,2025-09-30T07:30:29.397892500Z,12345
SelectionSort,1000,random,4,412400,499500,997,1002988,2025-09-30T07:30:29.400878400Z,12345
SelectionSort,1000,random,5,406900,499500,991,1002964,2025-09-30T07:30:29.403879400Z,12345
