algorithm,n,distribution,run,wall_ns,comparisons,swaps,array_accesses,timestamp,seed
SelectionSort,10000,reversed,1,50092700,49995000,5000,100010000,2025-09-29T19:13:36.430532500Z,12345
SelectionSort,10000,reversed,2,50184900,49995000,5000,100010000,2025-09-29T19:13:36.765850Z,12345
SelectionSort,10000,reversed,3,34822600,49995000,5000,100010000,2025-09-29T19:13:37.049458300Z,12345
SelectionSort,10000,reversed,4,34788400,49995000,5000,100010000,2025-09-29T19:13:37.258382100Z,12345
SelectionSort,10000,reversed,5,34842000,49995000,5000,100010000,2025-09-29T19:13:37.485412500Z,12345
SelectionSort,10000,reversed,6,69586700,49995000,5000,100010000,2025-09-29T19:13:37.763984900Z,12345
SelectionSort,10000,reversed,7,34806900,49995000,5000,100010000,2025-09-29T19:13:37.987080200Z,12345
SelectionSort,10000,reversed,8,34812000,49995000,5000,100010000,2025-09-29T19:13:38.203529900Z,12345
SelectionSort,10000,reversed,9,34906100,49995000,5000,100010000,2025-09-29T19:13:38.425912100Z,12345
SelectionSort,10000,reversed,10,34812300,49995000,5000,100010000,2025-09-29T19:13:38.636966400Z,12345
